TOWN|MIN|MAX
ABINGTON, MA|10|14
ACTON, MA|50|85
ACUSHNET, MA|45|60
ADAMS, MA|160|210
AGAWAM, MA|100|140
ALLSTON, MA|30|65
AMESBURY, MA|75|110
AMHERST, MA|110|150
ANDOVER, MA|60|100
ARLINGTON, MA|40|65
ASHBURNHAM, MA|80|120
ASHBY, MA|80|130
ASHFIELD, MA|130|180
ASHLAND, MA|45|70
ASHLEY FALLS, MA|150|200
ASSONET, MA|30|40
ATHOL, MA|90|140
ATTLEBORO, MA|35|55
ATTLEBORO FALLS, MA|35|50
AUBURN, MA|55|85
AUBURNDALE, MA|30|55
AVON, MA|7|10
AYER, MA|60|100
BABSON PARK, MA|30|50
BALDWINVILLE, MA|80|130
BARNSTABLE, MA|70|110
BARRE, MA|90|130
BECKET, MA|140|180
BEDFORD, MA|40|70
BELCHERTOWN, MA|90|130
BELLINGHAM, MA|40|65
BELMONT, MA|40|75
BERKLEY, MA|30|40
BERKSHIRE, MA|130|170
BERLIN, MA|55|80
BERNARDSTON, MA|110|160
BEVERLY, MA|60|110
BILLERICA, MA|45|75
BLACKSTONE, MA|50|70
BLANDFORD, MA|110|160
BOLTON, MA|55|85
BONDSVILLE, MA|85|120
BOSTON, MA|45|80
BOXBOROUGH, MA|55|90
BOXFORD, MA|60|100
BOYLSTON, MA|60|85
BRAINTREE, MA|7|12
BREWSTER, MA|80|120
BRIDGEWATER, MA|24|35
BRIGHTON, MA|35|65
BRIMFIELD, MA|75|110
BROCKTON, MA|14|20
BROOKFIELD, MA|80|120
BROOKLINE, MA|35|75
BUCKLAND, MA|130|180
BURLINGTON, MA|40|70
BUZZARDS BAY, MA|45|60
BYFIELD, MA|65|100
CAMBRIDGE, MA|35|75
CANTON, MA|22|35
CARLISLE, MA|50|80
CARVER, MA|40|55
CATAUMET, MA|45|60
CENTERVILLE, MA|65|100
CHARLEMONT, MA|130|190
CHARLESTOWN, MA|35|75
CHARLTON, MA|65|100
CHATHAM, MA|90|130
CHELMSFORD, MA|50|85
CHELSEA, MA|40|80
CHERRY VALLEY, MA|65|100
CHESHIRE, MA|150|210
CHESTER, MA|130|170
CHESTERFIELD, MA|130|170
CHESTNUT HILL, MA|35|65
CHICOPEE, MA|90|130
CHILMARK, MA|150|170
CLINTON, MA|60|90
COHASSET, MA|30|40
COLRAIN, MA|130|180
CONCORD, MA|40|65
CONWAY, MA|120|170
COTUIT, MA|70|100
CUMMAQUID, MA|70|110
CUMMINGTON, MA|130|180
CUTTYHUNK, MA|130|150
DALTON, MA|150|200
DANVERS, MA|60|100
DEDHAM, MA|22|35
DEERFIELD, MA|120|170
DENNIS, MA|80|120
DENNIS PORT, MA|80|120
DIGHTON, MA|35|50
DOUGLAS, MA|60|85
DOVER, MA|30|45
DRACUT, MA|60|100
DRURY, MA|150|200
DUDLEY, MA|75|110
DUNSTABLE, MA|60|90
DUXBURY, MA|30|40
EAST BRIDGEWATER, MA|18|24
EAST BROOKFIELD, MA|75|110
EAST DENNIS, MA|75|110
EAST FALMOUTH, MA|60|85
EAST FREETOWN, MA|35|45
EAST LONGMEADOW, MA|100|140
EAST ORLEANS, MA|85|130
EAST OTIS, MA|130|180
EAST SANDWICH, MA|60|90
EAST TAUNTON, MA|26|40
EAST TEMPLETON, MA|75|120
EAST WALPOLE, MA|22|35
EAST WAREHAM, MA|40|55
EASTHAM, MA|90|130
EASTHAMPTON, MA|110|150
EDGARTOWN, MA|130|160
ERVING, MA|100|140
ESSEX, MA|70|120
EVERETT, MA|40|85
FAIRHAVEN, MA|45|60
FALL RIVER, MA|40|55
FALMOUTH, MA|60|80
FAYVILLE, MA|40|65
FEEDING HILLS, MA|100|140
FISKDALE, MA|70|100
FITCHBURG, MA|70|120
FLORENCE, MA|110|160
